author_id|first_name|last_name|dob|dod
2|Ray|Cummings|1887|1957
3|Sewell Peaslee|Wright|1897|1970
7|Captain S. P.|Meek|1894|1972
8|Arthur J.|Burks|1898|1974
11|Nathaniel|Hawthorne|1804|1864
18||Various||
19||Anonymous||
81|William Makepeace|Thackeray|1811|1863
95|Joseph|Conrad|1857|1924
171|H. Rider|Haggard|1856|1925
189|Jules|Verne|1828|1905
260|Harriet Beecher|Stowe|1811|1896
281|Ford Madox|Ford|1873|1939
297|Frederick|Marryat|1792|1848
411|Friedrich|Nietzsche|1844|1900
431|Alexandre|Dumas|1802|1870
479|Murray|Leinster|1896|1975
531|Algernon|Blackwood|1869|1951
615|Charles Willard|Diffin|1884|1966
631|George|MacDonald|1824|1905
743|Grace Livingston|Hill|1865|1947
754|Harl|Vincent|1893|1968
961|William|Morris|1834|1896
1860|J. M.|Barrie|1860|1937
2013|Émile|Gaboriau|1832|1873
2267|Mary Jane|Holmes|1825|1907
2503|Joseph A.|Altsheler|1862|1919
2555|Frances Milton|Trollope|1779|1863
2667|Fergus|Hume|1859|1932
3245|Tom|Curry||
3290|Stella|Benson|1892|1933
4106|William|Patten|1868|1936
4108|Elizabeth Cleghorn|Gaskell|1810|1865
4796|George W. M.|Reynolds|1814|1879
5066|C. W.|Leadbeater|1854|1934
5073|Stanley G.|Weinbaum|1902|1935
5126|Albert Payson|Terhune|1872|1942
5266|Maria Thompson|Daviess|1872|1924
6372|Charlotte M.|Brame|1836|1884
9030|Egerton|Castle|1858|1920
9340|Laura E. Howe|Richards|1850|1943
9724|William|Still|1821|1902
9757|Mary Elizabeth|Braddon|1835|1915
9990|Edward P.|Roe|1838|1888
10014|William J.|Long|1867|1952
10488|James P.|Olsen||
10682|David Dickinson|Mann|1775|1811
10739|Mary|Seacole|1805|1881
10926|Ada|Leverson|1862|1933
11128|George|Gibbs|1870|1942
11241|Horace|Mann|1796|1859
11757|Bernhard Eduard|Fernow|1851|1923
12521|Ingersoll|Lockwood|1841|1918
12524|Maurice|Thompson|1844|1901
12600|Hollis|Godfrey|1874|1936
13013|James Macdonald|Oxley|1855|1907
13135|Emory Adams|Allen|1853|1933
13136|S. C.|Ferguson||
13917|Susan Petigru|King-Bowen|1824|1875
14114|Smith|Burnham|1866|1947
14188|Rev. John H.|Stapleton|1873|
14493|The|President's Commission on Immigration and Naturalizatio||
14714|Jean-Bernard|Mary-Lafon|1810|1884
15007|Sidney|Heath|1872|1953
15052|Henry J.|Tompkins|0|0
15091|Edward Douglas|Fawcett|1866|1960
15430|Henry Marriage|Wallis|1854|1941
